Site No,Location,Gage,Remarks,Valid
12113349,"LOCATION - Lat 47Â°25'49"", long 122Â°14'31"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.01, T.22 N., R.4 E., King County, WA, Hydrologic Unit 17110013, on right bank 100 ft upstream from Pedestrian bridge of Interurban Trail, in Orillia.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988 (Levels by City of Kent). Prior to October 2003, recording gage 0.7 mi downstream at datum NGVD of 1929 (City of Kent benchmark).",REMARKS - Natural flow affected by Green River Natural Resource area located 1.75 miles upstream and urbanization. U.S. Geological satellite telemeter at station.,0.0
12113350,"LOCATION - Lat 47Â°27'55"", long 122Â°14'50"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.24, T.23 N., R.4 E., King County, WA, Hydrologic Unit 17110013, on left bank under Interurban Ave S bridge in Tukwila, 1.4 mi upstream from Black River, and at mile 12.4.",GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NGVD of 1929 (Corps of Engineers bench mark).,REMARKS - Flow regulated by Howard A. Hanson Reservoir (station 12105800) for flood control and during summer months to augment the natural river flow. Minor diversions and regulation on upstream tributaries. River stage is affected daily by backwater during high tide. Chemical analyses October 1967 to September 1970. U.S. Geological Survey satellite telemeter at station.,0.0
12113390,"LOCATION - Lat 47Â°28'44.35"", long 122Â°15'31.44"" referenced to North American Datum of 1983, in NE 1/4 SW 1/4 sec.14, T.23 N., R.4 E., King County, WA, Hydrologic Unit 17110013, on left bank at footbridge, 0.5 mi downstream from Black River confluence, at Tukwila, 10.4 mi upstream from mouth.","GAGE - Water stage recorder, crest stage gage, and velocity recorder. Datum of gage is NAVD 1988.","REMARKS - Since Dec. 5, 1961, flow regulated by Howard A. Hanson Reservoir (station 12105800), 54.1 mi upstream from station, for flood control and, during summer months, to augment the natural river flow. Minor diversions on upstream tributaries for domestic use. River flow at this station is affected significantly by astronomical tides. By convention, the U.S. Geological Survey has established ebb (seaward) flows as positive flows and flood (landward) flows as negative flows. Daily mean discharge was computed using the Godin low-pass filter to remove tidal effects from instantaneous values. U.S. Geological Survey satellite telemeter at station.
City of Tacoma diverted the following average daily discharges from river at headworks near Palmer, 50.6 mi upstream from station, for municipal use:
Water Year 2014: 59.4 ft3/s
Water Year 2015: 69.7 ft3/s
Water Year 2016: 90.2 ft3/s
Water Year 2017: 95.6 ft3/s
Water Year 2018: 90.3 ft3/s
Water Year 2019: 96.5 ft3/s
Water Year 2020: 92.4 ft3/s
Water Year 2021: 95.0 ft3/s",0.0
12113415,"LOCATION - Lat 47Â°30'01.82"", long 122Â°17'17.31"" referenced to North American Datum of 1983, in sec.10, T.23 N., R.4 E., King County, WA, Hydrologic Unit 17110013, on right bank at bridge, 6.8 mi upstream from mouth.",GAGE - Water-stage recorder and crest-stage gage. Datum of gage is North American Vertical Datum of 1988 (NAVD 88).,REMARKS - Gage height record only. Large diurnal fluctuation because of tides. Flow regulated by Howard A. Hanson Reservoir (station 12105800) for flood control and during summer months to augment the natural river flow. Minor diversions and regulation on upstream tributaries. U.S. Geological Survey satellite telemeter at station.,0.0
12114500,"LOCATION - Lat 47Â°20'32"", long 121Â°32'52"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.32, T.22 N., R.10 E., King County, WA, Hydrologic Unit 17110012, on right bank 500 ft downstream from Bear Creek, and 12.2 mi southeast of town of Cedar Falls.","GAGE - Water-stage recorder. Elevation of gage is 1,880 ft above NGVD of 1929, from topographic map. Prior to Sept. 16, 1960, at site 90 ft upstream at datum 2.35 ft higher.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12115000,"LOCATION - Lat 47Â°22'13"", long 121Â°37'26"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.23, T.22 N., R.9 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on downstream side of bridge 1.4 mi upstream from Chester Morse Lake, 8.3 mi southeast of town of Cedar Falls, and at mile 43.5.","GAGE - Water-stage recorder. Datum of gage is 1,560 ft above NGVD of 1929 (from topographic map) and 1,569.823 ft above NAVD of 1988. Prior to Oct. 26, 1957, at site 80 ft downstream at same datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12115500,"LOCATION - Lat 47Â°21'03"", long 121Â°39'43"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.33, T.22 N., R.9 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on right bank 3.0 mi upstream from mouth and Chester Morse Lake, and 7.5 mi southeast of town of Cedar Falls.","GAGE - Water-stage recorder. Elevation of gage is 1,700 ft above NGVD of 1929, from topographic map. Prior to Oct. 1, 2000, published at datum 1,600 ft above NGVD of 1929.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12115700,"LOCATION - Lat 47Â°21'59"", long 121Â°41'30"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.29, T.22 N., R.9 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on left bank 5.8 mi southeast of Cedar Falls, and at mile 0.4.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 1,610 ft above NGVD of 1929, from topographic map.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12115900,"LOCATION - Lat 47Â°24'34"", long 121Â°43'22"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.12, T.22 N., R.8 E., King County, WA, Hydrologic Unit 17110012, at the overflow dike, 3.1 mi southeast of town of Cedar Falls, and at mile 37.2.","GAGE - Water-stage recorder. Prior to Aug. 22, 2001, nonrecording gage at same site and datum. Datum of gage is 11.39 ft above NAVD 88 (2019 levels by USGS) and 7.39 ft above NGVD of 1929 (levels by City of Seattle).","REMARKS - Reservoir is formed by concrete overflow dike (wooden crib dam prior to 1989). Usable capacity, 37,186 acre-ft between gage heights 1,532 ft, minimum operation level, and 1,550 ft, top of overflow dike. Prior to 1989, gage height of wooden crib dam gage height was 1,555 ft. Unused storage below gage height 1,532 ft is 38,137 acre-ft. When the elevation of downstream Cedar Lake exceeds 1,550 ft and the overflow dike is submerged, Chester Morse Lake is then controlled by masonry gravity dam at Cedar Lake. Water is used by City of Seattle for municipal water supply and power production. U.S. Geological Survey satellite telemeter at station.",0.0
12116060,,,,0.0
12116100,"LOCATION - Lat 47Â°25'11"", long 121Â°45'55"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.03, T.22 N., R.8 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on right bank 400 ft upstream from mouth, and 0.8 mi east of town of Cedar Falls.","GAGE - Water-stage recorder and wooden control. Elevation of gage is 1,040 ft above NGVD of 1929, from topographic map.",REMARKS - No regulation or diversion upstream from station. Flow is mostly seepage from Chester Morse Lake. U.S. Geological Survey satellite telemeter at station.,2.0
12116400,"LOCATION - Lat 47Â°25'08"", long 121Â°46'49"" referenced to North American Datum of 1927, in SE 1/4 sec.04, T.22 N., R.8 E., King County, WA, Hydrologic Unit 17110012, on right bank 100 ft upstream from Seattle Municipal Powerplant at town of Cedar Falls, and at mile 33.7.","GAGE - Water-stage recorder, crest-stage gage and concrete weir. Datum of gage is 900.00 ft above NGVD of 1929 (City of Seattle benchmark).","REMARKS - Flow regulated by Chester Morse Lake (station 12115900) and Cedar Lake (station 12116060) to supply powerplant, which discharges below gage. U.S. Geological Survey satellite telemeter at station.",0.0
12116500,"LOCATION - Lat 47Â°25'02"", long 121Â°47'27"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.04, T.22 N., R.8 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on right bank 0.5 mi downstream from Seattle municipal powerplant at town of Cedar Falls, 4.0 mi downstream from Chester Morse Lake, and at mile 33.2.",GAGE - Water-stage recorder. Datum of gage is 902.1 ft above NGVD of 1929.,REMARKS - All diversions are returned to river upstream from station. Flow regulated by Chester Morse Lake (station 12115900) and Cedar Lake (station 12116060). U.S. Geological Survey satellite telemeter at station.,0.0
12117000,"LOCATION - Lat 47Â°23'12"", long 121Â°50'42"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.19, T.22 N., R.8 E., King County, WA, Hydrologic Unit 17110012, Snoqualmie National Forest, on left bank 0.6 mi upstream from mouth, and 1.3 mi northeast of Selleck.","GAGE - Water-stage recorder. Elevation of gage is 940 ft above NGVD of 1929, from topographic map. June to October 1945 on right bank 350 ft downstream at different datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12117500,"LOCATION - Lat 47Â°23'38"", long 121Â°57'12"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.17, T.22 N., R.7 E., King County, WA, Hydrologic Unit 17110012, on left bank 1.8 mi upstream from intake of Seattle water-supply system near Landsburg, 4.0 mi east of Maple Valley, 5.9 mi downstream from Taylor Creek, and at mile 23.4.","GAGE - Water-stage recorder. Datum of gage is 565.9 ft above NGVD of 1929. Prior to Oct. 1, 1898, nonrecording gage at site 2.2 mi downstream at different datum. Mar. 24, 1901, to May 15, 1913, nonrecording gage at site 2 mi downstream at datum 535.84 ft NGVD of 1929 (levels by City of Seattle). Apr. 30, 1914, to Oct. 22, 1928, water-stage recorder 0.2 mi downstream at different datum.","REMARKS - All diversions except Rock Creek returned to river upstream from station. Rock Creek, a tributary which entered naturally just upstream from station prior to 1932, is diverted during summer months to enter river at a point about 3.9 mi downstream from station. Some regulation by Chester Morse Lake (station 12115900) and Cedar Lake (station 12116060), 12.2 mi upstream. Chemical analyses July 1959 to July 1960. Water temperatures published August 1953 to September 1985. U.S. Geological Survey satellite telemeter at station.
Water Years 2014, 2015: Records good except estimated daily discharges, which are fair.
Water Year 2016: No estimated daily discharges. Records good.
Water Year 2017 to 2019: No estimated discharges. Records good.
Water Year 2020: Records good except estimated discharges, which are fair.",0.0
12117600,"LOCATION - Lat 47Â°22'47"", long 121Â°58'56"" referenced to North American Datum of 1927, in SE 1/4 NW 1/4 sec.24, T.22 N., R.6 E., King County, WA, Hydrologic Unit 17110012, on right bank 0.8 mi northwest of the Issaquah-Ravensdale road bridge, 0.9 mi northwest of Landsburg, and at mile 20.4.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 490 ft above NGVD of 1929, from topographic map.","REMARKS - Flow is regulated by Chester Morse Lake (station 12115900) and Cedar Lake (station 12116060) 15 mi upstream for operation of powerplant at Cedar Falls 13.1 mi upstream from station. U.S. Geological Survey satellite telemeter at station.
Water Year 2014: An average discharge of about 111 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Year 2015: An average discharge of about 123 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Years 2016, 2017: An average discharge of about 121 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Year 2018: An average discharge of about 120 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Year 2019: An average discharge of about 129 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Year 2020: An average discharge of about 117 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.
Water Year 2021: An average discharge of about 143 ft3/s was diverted during the year by Seattle City Water diversion 1.5 mi upstream from the gage.",0.0
12118400,"LOCATION - Lat 47Â°21'45"", long 122Â°00'35"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.26, T.22 N., R.6 E., King County, WA, Hydrologic Unit 17110012, on right bank in front of Parshall Flume, upstream of State Hwy 516, 1.5 mi northwest of Ravensdale.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 559.24 ft above NAVD of 1988 (Levels from City of Kent). Prior to May, 2001, recording gage at same site at different datum.",REMARKS - Diversions by City of Kent upstream of gage for municipal use may affect flow. U.S. Geological Survey satellite telemeter at station.,0.0
12119000,"LOCATION - Lat 47Â°28'58"", long 122Â°12'08"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.17, T.23 N., R.5 E., King County, WA, Hydrologic Unit 17110012, on downstream side of bridge on Mill Avenue at Renton, and at mile 1.6.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 18.65 ft above NAVD88, from NGS info for BMK-384. Add 18.65 feet to gage data to convert to NAVD88. Prior to 2021, datum of gage was referenced as 15.20 ft above NGVD of 1929. Prior to Jan. 1, 1908, nonrecording gages within 1 mi of present site, at datum 10.67 ft above NGVD of 1929. Aug. 7, 1945 to Aug. 15, 1947, water-stage recorder at site 700 ft upstream at datum 20.13 ft above NGVD of 1929, Aug. 16, 1947, to Dec. 7, 1950, at datum 19.13 ft above NGVD of 1929, and Dec. 8, 1950 to Sept. 24, 2015, water stage recorder 125 ft downstream at present datum.","REMARKS - Flow partly regulated by Chester Morse Lake and Masonry Dam for operation of powerplant at Cedar Falls 32.1 mi upstream from gage. Chemical analyses July 1959 to August 1964, December 1965 to September 1971. U.S. Geological Survey satellite telemeter at station.
Water Year 2014: An average daily discharge of about 111 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2015: An average daily discharge of about 123 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2016: An average daily discharge of about 121 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2017: An average daily discharge of about 121 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2018: An average daily discharge of about 120 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2019: An average daily discharge of about 129 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2020: An average daily discharge of about 117 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.
Water Year 2021: An average daily discharge of about 143 ft3/s was diverted during the year at Landsburg by the City of Seattle for municipal use, computed from data furnished by Seattle Water Department.",0.0
12120600,"LOCATION - Lat 47Â°27'27"", long 122Â°00'14"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.26, T.23 N., R.6 E., King County, WA, Hydrologic Unit 17110012, on left bank 20 ft downstream from highway bridge, 2.9 mi northwest of Hobart, and 10.2 mi upstream from mouth, 1.6 mi northwest of Issaquah, and at mile 33.1 (continuation of Sammamish River).","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 300 ft above NGVD of 1929, from topographic map.",REMARKS - No known regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12121600,"LOCATION - Lat 47Â°33'09"", long 122Â°02'48"" referenced to North American Datum of 1927, in SE 1/4 NW 1/4 sec.21, T.24 N., R.6 E., King County, WA, Hydrologic Unit 17110012, on downstream side of S.E. 56th Street bridge, 0.7 mi downstream from North Fork, 1.2 mi upstream from mouth, 1.6 mi northwest of Issaquah, and at mile 24.1 (continuation of Sammamish River).",GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 35.99 ft above NGVD of 1929.,"REMARKS - Many minor diversions for irrigation and domestic use upstream from station. Chemical analyses November 1964 to September 1971, October 1973 to September 1974. Water temperatures September 1970 to September 1971 and December 2006 to December 2007. U.S. Geological Survey satellite telemeter at station.",1.0
12122000,"LOCATION - Lat 47Â°34'36"", long 122Â°06'36"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.12, T.24 N., R.5 E., King County, WA, Hydrologic Unit 17110012, on west shore 5.6 mi above lake outlet, and 6.5 mi south of Redmond. Prior to Sept. 21, 2009, at site 0.2 mi north.","GAGE - Water-stage recorder. Datum of gage is NGVD of 1929 and is 3.278 ft above NAVD of 1988. Prior to June 22, 1942, nonrecording gage at different site at datum 25.04 ft higher. June 22, 1942, to Aug. 22, 1951, nonrecording gage at different site at datum 25.04 ft higher and Aug. 23, 1951, to Sept. 30, 1996, at datum 24.04 ft higher, April 29, 1965, to Sept. 21, 2009, recording gage at site 0.2 mi. north.",REMARKS - Minor regulation on tributaries. Many small diversions from tributaries for irrigation and domestic use. U.S. Geological Survey satellite telemeter at station.,1.0
12131300,,,,0.0
12131500,"LOCATION - Lat 47Â°42'39.75"", long 121Â°21'38.64"" referenced to North American Datum of 1983, in NW 1/4 SW 1/4 sec.26, T.26 N., R.11 E., King County, WA, Hydrologic Unit 17110009, on right bank at Skykomish, WA.",GAGE - Water-stage recorder and crest-stage gages. Datum of gage is 900 ft above NAVD88. Add 900 ft to convert to NAVD88.,REMARKS - No regulation. U.S. Geological Survey satellite telemeter at station.,2.0
12134500,"LOCATION - Lat 47Â°50'15"", long 121Â°39'56"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.09, T.27 N., R.9 E., Snohomish County, WA, Hydrologic Unit 17110009, on right bank 2.0 mi southeast of Gold Bar, 7.3 mi upstream from Wallace River, and at mile 43.0.","GAGE - Water-stage recorder and crest-stage gages. Datum of gage is 213.02 ft above NAVD of 1988 (Level II GNSS survey) and 209.26 ft above NGVD of 1929. Prior to Oct. 1, 1996, at site 275 ft downstream at same datum.","REMARKS - No regulation. Several small diversions upstream from station. Chemical analyses July 1959 to September 1970, October 1977 to June 1980. U.S. Geological Survey satellite telemeter at station.",2.0
12137290,"LOCATION - Lat 47Â°56'51"", long 121Â°37'32"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.03, T.28 N., R.9 E., Snohomish County, WA, Hydrologic Unit 17110009, on left bank, 0.3 mi downstream from bridge, 14 mi northeast of Sultan, and 0.2 mi upstream from mouth.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 1,450.53 ft above NGVD of 1929.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12137800,"LOCATION - Lat 47Â°57'34"", long 121Â°47'46"" referenced to North American Datum of 1927, in SE 1/4 NE 1/4 sec.32, T.29 N., R.8 E., Snohomish County, WA, Hydrologic Unit 17110009, on right bank 1000 ft downstream from City of Everett diversion dam on Sultan River, 6.8 mi north of Sultan, and at mile 9.4.","GAGE - Water-stage recorder and square notch sharp-crested weir in gate of dam. Datum of gage is 600.00 ft above NGVD of 1929 (City of Everett). Prior to Oct. 1, 1989, recording gage at site 350 ft downstream at different datum, Mar. 16 to Sept. 21, 1993, Jan. 7-10, 1994, Feb. 18 to Sept. 21, 1995, Dec. 3-7, 1995, Mar. 14 to Sept. 3, 1996, Mar. 13 to June 24, 1997, recording gage at site 1,200 ft downstream, at different datum.","REMARKS - Flow regulated at Spada Lake (station 12137300) since Apr. 5, 1965. Since May 1984, water is diverted at Spada Lake through a 10-ft diameter pipeline for power generation at the Jackson Project, and for municipal water supply at Lake Chaplain. Since July 1984, undetermined flows are returned to river at diversion dam by pipeline from Lake Chaplain for maintenance of instream flow requirements. U.S. Geological Survey satellite telemeter at station.",0.0
12138160,"LOCATION - Lat 47Â°54'27"", long 121Â°48'51"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.17, T.28 N., R.8 E., Snohomish County, WA, Hydrologic Unit 17110009, on left bank, just downstream from Henry M. Jackson powerplant, 3.2 mi north of Sultan, and at mile 4.5.","GAGE - Water-stage recorder. Datum of gage is 267.0 ft above NGVD of 1929 (levels by Snohomish County Public Utility District). Prior to Oct. 1, 1991, at site on right bank, 100 ft downstream at same datum.","REMARKS - Flow regulated at Spada Lake (station 12137300) since April 5, 1965. Since May 1984, water is diverted from Spada Lake through a 14 ft diameter, 4 mile long tunnel and a 10 ft diameter, 4 mi long pipeline for power production and returned to the river upstream from the station, at the powerplant. Since July 1984, an undetermined flow has been returned to river at upstream diversion dam by pipeline from Lake Chaplain for instream flow requirement. Some flows diverted into Lake Chaplain from municipal use by City of Everett. U.S. Geological survey satellite telemeter at station.",0.0
12141300,"LOCATION - Lat 47Â°29'10"", long 121Â°38'48"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.10, T.23 N., R.9 E., King County, WA, Hydrologic Unit 17110010, on left bank 0.7 mi downstream from Granite Creek, 6.4 mi east of North Bend, and at mile 55.6.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 780 ft above NGVD of 1929, from topographic map.",REMARKS - No regulation or diversion upstream from station. Water temperatures June 1979 to September 1980. U.S. Geological Survey satellite telemeter at station.,2.0
12142000,"LOCATION - Lat 47Â°36'54"", long 121Â°42'44"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.31, T.25 N., R.9 E., King County, WA, Hydrologic Unit 17110010, on left bank 0.6 mi upstream from Calligan Creek, 7.0 mi northeast of town of Snoqualmie Falls, and at mile 9.2.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 1,130 ft above NGVD of 1929, from topographic map. Prior to Oct. 19, 1949, water-stage recorder, and October 1949 to February 1961, crest-stage gage, at site 1,500 ft downstream at different datum.",REMARKS - No regulation or diversion upstream from station. Daily water temperatures June 1979 to August 1980. U.S. Geological Survey satellite telemeter at station.,2.0
12143400,"LOCATION - Lat 47Â°24'55"", long 121Â°35'10"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.06, T.22 N., R.10 E., King County, WA, Hydrologic Unit 17110010, Snoqualmie National Forest, on left bank, 50 ft downstream from bridge, 0.4 mi upstream from Alice Creek, 1.5 mi southeast of Garcia, 11 mi southeast of North Bend, and at mile 17.3.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 1,441.58 ft. above NAVD of 1988. Datum of gage was 1,437.67 ft. above Washington Highway Department datum (now Dept. of Transportation). Oct. 1, 1960 to Sept. 30, 1987.",REMARKS - No regulation or diversion upstream from station. Chemical analyses October to November 1971. Water temperatures May 1979 to September 1980. U.S. Geological Survey satellite telemeter at station.,2.0
12143600,"LOCATION - Lat 47Â°27'10"", long 121Â°43'00"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.25, T.23 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on right bank at upstream side of highway bridge in Edgewick, 3 mi downstream from Change Creek, and at mile 8.6.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 574.30 ft above NAVD of 1988 (USGS GNSS Level II survey May 26, 2021) and 571.24 ft above NGVD of 1929. Prior to August 3, 1983, gage at site 45 ft downstream at datum 5.90 ft higher. Prior to March 17, 2004, gage at site on left bank at same datum.","REMARKS - Minor regulation at Twin Falls and Weeks hydroelectric projects, upstream from station. No diversions. U.S. Geological Survey satellite telemeter at station.",1.0
12143700,"LOCATION - Lat 47Â°25'58"", long 121Â°45'04"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.35, T.23 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on left bank 1.7 mi northeast of town of Cedar Falls, and 2.5 mi upstream from mouth.","GAGE - Water-stage recorder. Elevation of gage is 1,220 ft above NGVD of 1929, from topographic map.",REMARKS - No regulation or diversion upstream from station. Flow is mostly seepage from Chester Morse Lake. U.S. Geological Survey satellite telemeter at station.,2.0
12143900,"LOCATION - Lat 47Â°26'56"", long 121Â°43'50"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 NW 1/4 sec.25, T.23 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on right bank 4.0 mi southeast of North Bend, and at mile 0.9.","GAGE - Water-stage recorder. Elevation of gage is 650 ft above NGVD of 1929, from topographic map. Prior to December 10, 2021, at site 300 ft upstream at same datum.",REMARKS - Many small diversions for domestic use upstream from station. Flow is mostly seepage from Chester Morse Lake. U.S. Geological Survey satellite telemeter at station.,1.0
12144000,"LOCATION - Lat 47Â°29'35"", long 121Â°47'20"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.09, T.23 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on right bank on upstream side of Bendigo Street crossing at North Bend, and at mile 2.0.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 426.32 ft above NAVD of 1988 (USGS differential level survey of Feb. 24, 2021) and 423.01 ft above NGVD of 1929 (February 1984 through September 1996 incorrectly published as 439.33 ft). Prior to April 11, 1950, nonrecording gage or water-stage recorder at several sites within 0.5 mi upstream from present site at various datums. October 1, 1960 to March 10, 1965, at site 0.46 mi upstream at datum 1.86 ft lower. March 10, 1965, to August 31, 1974, at site 0.46 mi upstream at datum 6.86 ft lower.",REMARKS - City of North Bend diverts about 0.8 ft3/s daily from Clough Creek for municipal use. Minor regulation at Twin Falls and Weeks Falls projects upstream from station. U.S. Geological Survey telemeter at station.,0.0
12144500,"LOCATION - Lat 47Â°32'43"", long 121Â°50'28"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.19, T.24 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on right bank 0.3 mi downstream from Snoqualmie Falls, 0.4 mi upstream from Tokul Creek, 1.5 mi northwest of Snoqualmie, and at mile 40.0.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 120 ft above NGVD of 1929, from river-profile map. Prior to Nov. 3, 1902, and Nov. 1 to Dec. 31, 1906, nonrecording gages upstream and downstream from Snoqualmie Falls at different datum. Nov. 3, 1902, to Sept. 30, 1905, nonrecording gage at site 4 mi upstream and 300 ft downstream from South Fork, at different datum. Prior to Sept. 9, 1999, at site on opposite bank, at same datum.",REMARKS - Medium and low flows affected by powerplant 0.1 mi upstream from station. U.S. Geological Survey satellite telemeter at station.,0.0
12145500,"LOCATION - Lat 47Â°32'24"", long 121Â°54'28"" referenced to North American Datum of 1927, in sec.27, T.24 N., R.7 E., King County, WA, Hydrologic Unit 17110010, on right bank at highway bridge 2.0 mi southwest of Fall City, and 2.6 mi upstream from mouth.","GAGE - Water-stage recorder. Elevation of gage is 240 ft above NGVD of 1929, from topographic map. Prior to Oct. 2009 at same site, but at datum 10 ft higher. Prior to Oct. 1, 1950, water-stage recorder on left bank at same site. August 1951 and January 1953 to February 1963, crest-stage gage only on left bank at same site.",REMARKS - Some small diversions for irrigation and domestic use upstream from station. No regulation. U.S. Geological Survey satellite telemeter at station.,1.0
12147470,"LOCATION - Lat 47Â°43'11"", long 121Â°44'35.51"" referenced to North American Datum of 1983, in SW 1/4 SE 1/4 sec.23, T.26 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on left bank on upstream side of bridge, 14 mi northeast of Carnation, and 1.4 mi upstream of Yellow Creek.","GAGE - Water-stage recorder. Elevation of gage is 1,127 ft above NGVD of 1929, from river-profile map.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12147500,"LOCATION - Lat 47Â°42'45"", long 121Â°47'15"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.28, T.26 N., R.8 E., King County, WA, Hydrologic Unit 17110010, on right bank 2.9 mi upstream from confluence with South Fork, 7.4 mi northeast of Carnation, and at mile 11.7.","GAGE - Water-stage recorder. Elevation of gage is 600 ft above NGVD of 1929, from river-profile map.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12147600,"LOCATION - Lat 47Â°42'25"", long 121Â°35'56"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.25, T.26 N., R.9 E., King County, WA, Hydrologic Unit 17110010, on left bank 0.6 mi upstream from Phelps Creek, 8.1 mi south of Index, and at mile 12.9.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 1,850 ft above NGVD of 1929, and 1,838.84 ft above NAVD of 1988. Prior to Oct. 1, 1961, at datum 0.85 ft higher. Oct. 1, 1961, to Sept. 30, 1992, at datum 1.00 ft higher.",REMARKS - No regulation or diversion upstream from station. A portion of flow is within the gravel streambed and is unmeasurable. U.S. Geological Survey satellite telemeter at station.,2.0
